File name,Number of characters,Number of words,Total entity count,Number of MOL,Number of SOFT,Number of STIME,Number of TEMP,Number of FFM
figshare_10269416,2562,390,0,0,0,0,0,0
figshare_11356691,1304,190,0,0,0,0,0,0
figshare_11475366,1129,159,1,1,0,0,0,0
figshare_11704443,1831,258,50,50,0,0,0,0
figshare_12046578,1675,212,4,4,0,0,0,0
figshare_12374771,1962,279,16,14,0,0,0,2
figshare_13022698,1786,271,25,25,0,0,0,0
figshare_13116890,7099,1125,13,10,3,0,0,0
figshare_13234529,761,112,7,6,1,0,0,0
figshare_13499346,1814,250,18,18,0,0,0,0
figshare_13836577,3010,472,42,36,0,0,1,5
figshare_14156828,2144,322,38,38,0,0,0,0
figshare_14511885,2075,287,21,17,3,1,0,0
figshare_14919822,1317,195,14,14,0,0,0,0
figshare_14932766,1365,191,14,14,0,0,0,0
figshare_14994624,1434,193,14,14,0,0,0,0
figshare_16698491,1019,148,10,6,0,0,4,0
figshare_16712908,1154,157,13,13,0,0,0,0
figshare_16715821,1748,257,21,20,0,0,1,0
figshare_17430576,1945,264,2,0,2,0,0,0
figshare_19082291,2098,309,17,16,1,0,0,0
figshare_19115904,1755,258,15,15,0,0,0,0
figshare_19533246,837,122,2,2,0,0,0,0
figshare_19858240,1484,215,10,10,0,0,0,0
figshare_20009556,1560,225,10,9,0,1,0,0
figshare_20118543,1102,165,0,0,0,0,0,0
figshare_2020311,1920,279,16,12,0,0,0,4
figshare_20300547,1052,156,10,10,0,0,0,0
figshare_2032860,2352,310,33,28,0,1,0,4
figshare_20334621,2416,365,11,11,0,0,0,0
figshare_20473913,2055,293,8,8,0,0,0,0
figshare_20477204,1544,242,25,17,0,0,0,8
figshare_20485059,715,106,13,9,0,1,1,2
figshare_20485188,715,106,13,9,0,1,1,2
figshare_2106349,1818,255,31,18,13,0,0,0
figshare_21263177,1514,219,11,5,1,0,0,5
figshare_21304804,1382,190,0,0,0,0,0,0
figshare_21528986,1798,261,13,13,0,0,0,0
figshare_2154835,1206,164,12,10,0,0,0,2
figshare_2178850,1012,132,8,8,0,0,0,0
figshare_21806690,1730,247,19,18,1,0,0,0
figshare_2182180,1524,218,10,9,0,0,0,1
figshare_21980305,2201,285,17,16,0,0,0,1
figshare_22151355,1318,200,6,6,0,0,0,0
figshare_22213635,1099,164,10,9,0,0,1,0
figshare_2414671,2272,332,15,15,0,0,0,0
figshare_2527738,1532,223,15,14,0,1,0,0
figshare_3457004,951,137,11,7,0,0,0,4
figshare_3556404,728,109,4,2,2,0,0,0
figshare_4748350,1873,266,3,3,0,0,0,0
figshare_4757161,4353,647,50,31,10,1,4,4
figshare_5106286,1464,222,3,0,0,0,0,3
figshare_5508259,1451,225,36,26,0,0,0,10
figshare_5532214,788,118,7,4,1,2,0,0
figshare_5872566,1944,272,0,0,0,0,0,0
figshare_5975071,2145,316,1,1,0,0,0,0
figshare_7783568,1006,141,5,5,0,0,0,0
figshare_8009588,1172,174,1,0,1,0,0,0
figshare_8046437,1031,160,10,5,1,1,1,2
figshare_9684887,1191,173,2,2,0,0,0,0
figshare_9985349,1245,173,7,7,0,0,0,0
zenodo_1034816,684,95,6,2,0,0,0,4
zenodo_1219494,669,93,21,14,1,1,3,2
zenodo_1293813,615,97,10,3,1,1,2,3
zenodo_1346073,1034,141,4,3,1,0,0,0
zenodo_13814,625,90,11,5,2,2,0,2
zenodo_2644158,827,121,2,2,0,0,0,0
zenodo_3228177,686,103,18,12,0,1,3,2
zenodo_3236015,759,99,7,6,1,0,0,0
zenodo_3592499,711,110,14,8,3,1,0,2
zenodo_3667662,701,108,6,4,1,1,0,0
zenodo_3779223,845,123,3,3,0,0,0,0
zenodo_3780463,625,91,3,3,0,0,0,0
zenodo_3865919,989,135,4,2,2,0,0,0
zenodo_4106413,1014,157,5,2,0,1,2,0
zenodo_44660,722,110,17,13,1,1,0,2
zenodo_4625961,900,138,5,4,1,0,0,0
zenodo_4646862,894,140,7,6,1,0,0,0
zenodo_4730896,2002,295,13,6,4,2,0,1
zenodo_4805388,1015,153,6,4,1,0,0,1
zenodo_51754,1788,266,25,18,3,1,1,2
zenodo_53151,1788,266,25,18,3,1,1,2
zenodo_53887,918,124,4,4,0,0,0,0
zenodo_55565,2823,469,24,10,4,1,0,9
zenodo_5642866,298,45,4,3,1,0,0,0
zenodo_5680225,925,143,5,5,0,0,0,0
zenodo_5784447,1512,213,3,3,0,0,0,0
zenodo_6010416,2143,291,12,7,4,0,0,1
zenodo_6144286,1329,211,36,34,1,1,0,0
zenodo_6381427,1948,305,19,19,0,0,0,0
zenodo_6456372,623,102,4,3,1,0,0,0
zenodo_6478270,658,107,9,5,0,1,0,3
zenodo_6582985,711,98,13,6,4,1,0,2
zenodo_6755131,1691,251,21,12,4,1,1,3
zenodo_6974777,1426,209,6,6,0,0,0,0
zenodo_7007107,7373,1127,44,23,4,8,6,3
zenodo_7037843,3160,409,24,7,4,9,0,4
zenodo_7234728,789,117,12,2,6,0,4,0
zenodo_7323535,1174,177,8,3,2,1,1,1
zenodo_838635,1624,241,20,9,4,1,1,5
